Peregrin_falcon          89.41
Cheetah                  31.29
Lion                     22.35
Gazelle                  22.35
Wildebeest               22.35
Cat                      13.41
Kangaroo                 13.41
Human                    12.47
Elephant                 11.18
Black_mamba_snake         8.94
Pig                       4.92
Sloth                     0.07
Garden_snail              0.01
